"","UniProt_Name","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"355","A0A7I2YQN9;A0A7I2V5M7;Q13283;A0A7P0P2U7;A0A7I2V651;A0A7I2YQU8;A0A7I2YQH0;A0A7I2V4D8;A0A7I2V2X7;A0A7I2V494;A0A7I2V496;A0A7I2V565;A0A7I2YQF2;A0A7I2YQM1;A0A7I2V326;A0A7I2V5H1;A0A7I2V2V1;A0A7I2V548","A0A7I2YQN9;A0A7I2V5M7;Q13283;A0A7P0P2U7;A0A7I2V651;A0A7I2YQU8;A0A7I2YQH0;A0A7I2V4D8;A0A7I2V2X7;A0A7I2V494;A0A7I2V496;A0A7I2V565;A0A7I2YQF2;A0A7I2YQM1;A0A7I2V326;A0A7I2V5H1;A0A7I2V2V1;A0A7I2V548","A0A7I2YQN9;A0A7I2V5M7;Q13283;A0A7P0P2U7;A0A7I2V651;A0A7I2YQU8","6;6;6;4;3;3;2;1;1;1;1;1;1;1;1;1;1;1","6;6;6;4;3;3;2;1;1;1;1;1;1;1;1;1;1;1","6;6;6;4;3;3;2;1;1;1;1;1;1;1;1;1;1;1","Ras GTPase-activating protein-binding protein 1;Ras GTPase-activating protein-binding protein 1;Ras GTPase-activating protein-binding protein 1;Ras GTPase-activating protein-binding protein 1;Ras GTPase-activating protein-binding protein 1;Ras GTPase-activ",18,6,6,6
"356","A0A7I2V5R1;Q8TD19;A0A7I2V454;G3V5V0;G3V459;A0A7I2V4E9;G3V2Z5","A0A7I2V5R1;Q8TD19;A0A7I2V454;G3V5V0;G3V459;A0A7I2V4E9;G3V2Z5","A0A7I2V5R1;Q8TD19;A0A7I2V454;G3V5V0","4;4;3;2;1;1;1","4;4;3;2;1;1;1","4;4;3;2;1;1;1","Serine/threonine-protein kinase Nek9;Serine/threonine-protein kinase Nek9;Serine/threonine-protein kinase Nek9;Serine/threonine-protein kinase Nek9",7,4,4,4
"357","A0A7I2V5S2;A0A7I2YQC0;P06748;A0A7I2V433;A0A7I2V2X9;A0A7I2V3U2;A0A7I2V4G8;E5RI98;A0A7I2V3G5;A0A7I2V579;A0A7I2V5J8;E5RGW4","A0A7I2V5S2;A0A7I2YQC0;P06748;A0A7I2V433;A0A7I2V2X9;A0A7I2V3U2;A0A7I2V4G8;E5RI98;A0A7I2V3G5;A0A7I2V579;A0A7I2V5J8;E5RGW4","A0A7I2V5S2;A0A7I2YQC0;P06748;A0A7I2V433;A0A7I2V2X9;A0A7I2V3U2;A0A7I2V4G8;E5RI98","11;11;11;7;7;7;6;6;5;5;5;2","11;11;11;7;7;7;6;6;5;5;5;2","11;11;11;7;7;7;6;6;5;5;5;2","Nucleophosmin;Nucleophosmin;Nucleophosmin;Nucleophosmin;Nucleophosmin;Nucleophosmin;Nucleophosmin;Nucleophosmin",12,11,11,11
"358","A0A7I2V5X6;A0A7I2V5T7;Q9H7Z7;A0A7I2V308;X6RJ95;A0A7I2YQ70;A6NHH0","A0A7I2V5X6;A0A7I2V5T7;Q9H7Z7;A0A7I2V308;X6RJ95;A0A7I2YQ70;A6NHH0","A0A7I2V5X6;A0A7I2V5T7;Q9H7Z7;A0A7I2V308;X6RJ95","3;3;3;2;2;1;1","3;3;3;2;2;1;1","3;3;3;2;2;1;1","Prostaglandin E synthase 2;Prostaglandin E synthase 2;Prostaglandin E synthase 2;Prostaglandin E synthase 2;Prostaglandin E synthase 2 (Fragment)",7,3,3,3
"359","A0A7I2V5Y3;P20290;H0Y9Y1;D6RDG3;A0A7I2YQL2;A0A7I2V3T6","A0A7I2V5Y3;P20290;H0Y9Y1;D6RDG3;A0A7I2YQL2;A0A7I2V3T6","A0A7I2V5Y3;P20290;H0Y9Y1;D6RDG3;A0A7I2YQL2;A0A7I2V3T6","2;2;1;1;1;1","2;2;1;1;1;1","2;2;1;1;1;1","Transcription factor BTF3;Transcription factor BTF3;Transcription factor BTF3 (Fragment);Transcription factor BTF3 (Fragment);Transcription factor BTF3;Transcription factor BTF3",6,2,2,2
"360","A0A7I2V6B2;Q96FT9","A0A7I2V6B2;Q96FT9","A0A7I2V6B2;Q96FT9","3;3","3;3","3;3","Intraflagellar transport protein 43 homolog;Intraflagellar transport protein 43 homolog",2,3,3,3
"361","E7EX73;E9PGM1;E7EUU4;A0A7I2Y1C3;Q04637;C9J6B6;C9JF13;C9J2Z7;C9K073;H7C0V6;H7C044;A0A6Q8PFB2;F8WCF2;C9JHW9","E7EX73;E9PGM1;E7EUU4;A0A7I2Y1C3;Q04637;C9J6B6;C9JF13;C9J2Z7;C9K073;H7C0V6;H7C044;A0A6Q8PFB2;F8WCF2;C9JHW9","E7EX73;E9PGM1;E7EUU4;A0A7I2Y1C3;Q04637","13;13;13;13;13;6;6;5;5;3;2;2;1;1","13;13;13;13;13;6;6;5;5;3;2;2;1;1","13;13;13;13;13;6;6;5;5;3;2;2;1;1","Eukaryotic translation initiation factor 4 gamma 1;Eukaryotic translation initiation factor 4 gamma 1;Eukaryotic translation initiation factor 4 gamma 1;Eukaryotic translation initiation factor 4 gamma 1;Eukaryotic translation initiation factor 4 gamma 1",14,13,13,13
"362","A0A7I2YQ74;E7EUC7;Q16851;A0A087WYS1;A0A7I2V4T0;C9JNZ1;A0A7I2V676;C9JWG0;C9JVG3;C9JTZ5;C9JUW1;A0A7I2V2Q3;C9JQU9;F2Z3H1;C9J3M0;F2Z3P4;F8WC70;C9J6Q0","A0A7I2YQ74;E7EUC7;Q16851;A0A087WYS1;A0A7I2V4T0;C9JNZ1;A0A7I2V676;C9JWG0;C9JVG3;C9JTZ5;C9JUW1;A0A7I2V2Q3;C9JQU9;F2Z3H1;C9J3M0;F2Z3P4;F8WC70;C9J6Q0","A0A7I2YQ74;E7EUC7;Q16851;A0A087WYS1","14;13;13;12;6;6;6;5;5;4;4;4;4;3;2;2;2;2","14;13;13;12;6;6;6;5;5;4;4;4;4;3;2;2;2;2","14;13;13;12;6;6;6;5;5;4;4;4;4;3;2;2;2;2","UTP--glucose-1-phosphate uridylyltransferase;UTP--glucose-1-phosphate uridylyltransferase;UTP--glucose-1-phosphate uridylyltransferase;UTP--glucose-1-phosphate uridylyltransferase",18,14,14,14
"363","A0A7I2YQ78;Q5SRQ6;P67870","A0A7I2YQ78;Q5SRQ6;P67870","A0A7I2YQ78;Q5SRQ6;P67870","2;2;2","2;2;2","2;2;2","Casein kinase II subunit beta;Casein kinase II subunit beta;Casein kinase II subunit beta",3,2,2,2
"364","A0A7I2YQ95;H7C4F6;O00629;A0A7I2V340;A0A7I2V333","A0A7I2YQ95;H7C4F6;O00629;A0A7I2V340;A0A7I2V333","A0A7I2YQ95;H7C4F6;O00629;A0A7I2V340;A0A7I2V333","6;6;6;5;4","6;6;6;5;4","3;3;3;3;2","Importin subunit alpha;Importin subunit alpha;Importin subunit alpha-3;Importin subunit alpha;Importin subunit alpha-3",5,6,6,3
"365","J3QR09;J3KTE4;A0A7I2YQG2;P84098;A0A7I2V638;A0A7I2V4U6;A0A7I2V2L0;A0A7I2V512","J3QR09;J3KTE4;A0A7I2YQG2;P84098;A0A7I2V638;A0A7I2V4U6;A0A7I2V2L0;A0A7I2V512","J3QR09;J3KTE4;A0A7I2YQG2;P84098;A0A7I2V638;A0A7I2V4U6;A0A7I2V2L0;A0A7I2V512","2;2;2;2;1;1;1;1","2;2;2;2;1;1;1;1","2;2;2;2;1;1;1;1","Ribosomal protein L19;Ribosomal protein L19;Ribosomal protein L19;60S ribosomal protein L19;Ribosomal protein L19;Ribosomal protein L19;Ribosomal protein L19;Ribosomal protein L19",8,2,2,2
"366","A0A7I2YQI5;Q9Y5P6;A0A7I2V2Y5;A0A7I2V691;A0A7I2V4B5","A0A7I2YQI5;Q9Y5P6;A0A7I2V2Y5;A0A7I2V691;A0A7I2V4B5","A0A7I2YQI5;Q9Y5P6;A0A7I2V2Y5","3;3;2;1;1","3;3;2;1;1","3;3;2;1;1","Mannose-1-phosphate guanylyltransferase;Mannose-1-phosphate guanyltransferase beta;Mannose-1-phosphate guanyltransferase beta",5,3,3,3
"367","A0A8Q3SIG7;F5H578;A0A7N4I394;O75400","A0A8Q3SIG7;F5H578;A0A7N4I394;O75400","A0A8Q3SIG7;F5H578;A0A7N4I394;O75400","3;3;3;3","3;3;3;3","3;3;3;3","Pre-mRNA-processing factor 40 homolog A;Pre-mRNA-processing factor 40 homolog A;Pre-mRNA-processing factor 40 homolog A;Pre-mRNA-processing factor 40 homolog A",4,3,3,3
"368","A0A8I5KX02;G5E9W7;H7C5L9;A0A8I5KYF1;A0A8I5KSY5;A0A7P0MKV3;P82650;A0A8I5KQR7;H7C5F2;H7C5H3","A0A8I5KX02;G5E9W7;H7C5L9;A0A8I5KYF1;A0A8I5KSY5;A0A7P0MKV3;P82650;A0A8I5KQR7;H7C5F2;H7C5H3","A0A8I5KX02;G5E9W7;H7C5L9;A0A8I5KYF1;A0A8I5KSY5;A0A7P0MKV3;P82650;A0A8I5KQR7;H7C5F2;H7C5H3","4;4;4;4;4;4;4;2;2;2","4;4;4;4;4;4;4;2;2;2","4;4;4;4;4;4;4;2;2;2","28S ribosomal protein S22, mitochondrial;28S ribosomal protein S22, mitochondrial;28S ribosomal protein S22, mitochondrial;28S ribosomal protein S22, mitochondrial;28S ribosomal protein S22, mitochondrial;28S ribosomal protein S22, mitochondrial;28S riboso",10,4,4,4
"369","A0A7P0TA65;A0A7P0T952;A0A7P0TB15;A0A7P0T9T1;A0A7P0T9E5;A0A7P0T838;A0A7P0TBE4;H0YJF7;A0A7P0TA16;A0A7P0T824;Q99986;H0YJ50;A0A7P0T925;A0A7P0T8N0;A0A7P0T977;A0A7P0Z4A4;A0A7P0T9I1;A0A7P0TBB8;H0YJJ9;A0A7P0Z462;A0A7P0Z3Z7;A0A7P0TAS8;A0A7P0TAA6;A0A7P0Z445;A0A7P0TB08;A0A7P0T814;A0A7P0T9C6;A0A7P0TBI6","A0A7P0TA65;A0A7P0T952;A0A7P0TB15;A0A7P0T9T1;A0A7P0T9E5;A0A7P0T838;A0A7P0TBE4;H0YJF7;A0A7P0TA16;A0A7P0T824;Q99986;H0YJ50;A0A7P0T925;A0A7P0T8N0;A0A7P0T977;A0A7P0Z4A4;A0A7P0T9I1;A0A7P0TBB8;H0YJJ9;A0A7P0Z462;A0A7P0Z3Z7;A0A7P0TAS8;A0A7P0TAA6;A0A7P0Z445;A0A7P0TB08;A0A7P0T814;A0A7P0T9C6;A0A7P0TBI6","A0A7P0TA65;A0A7P0T952;A0A7P0TB15;A0A7P0T9T1;A0A7P0T9E5;A0A7P0T838;A0A7P0TBE4;H0YJF7;A0A7P0TA16;A0A7P0T824;Q99986;H0YJ50;A0A7P0T925;A0A7P0T8N0;A0A7P0T977;A0A7P0Z4A4;A0A7P0T9I1;A0A7P0TBB8;H0YJJ9;A0A7P0Z462;A0A7P0Z3Z7;A0A7P0TAS8;A0A7P0TAA6;A0A7P0Z445","3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1","3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1","3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1","Serine/threonine-protein kinase VRK1;Serine/threonine-protein kinase VRK1;Serine/threonine-protein kinase VRK1;Serine/threonine-protein kinase VRK1;Serine/threonine-protein kinase VRK1;Serine/threonine-protein kinase VRK1;Serine/threonine-protein kinase VR",28,3,3,3
"370","A0A7P0TB65;A0A7P0T840;P27824;A0A7P0T937;A0A7P0TAE9;A0A7P0Z484;A0A7P0T9L0;A0A7P0T8G1;D6RGY2;A0A7P0Z4D6;A0A7P0TAR9;A0A7P0Z4H2;D6RAU8;A0A7P0T8N1;A0A7P0TAN9;D6RFL1;D6RAQ8;D6RD16","A0A7P0TB65;A0A7P0T840;P27824;A0A7P0T937;A0A7P0TAE9;A0A7P0Z484;A0A7P0T9L0;A0A7P0T8G1;D6RGY2;A0A7P0Z4D6;A0A7P0TAR9;A0A7P0Z4H2;D6RAU8;A0A7P0T8N1;A0A7P0TAN9;D6RFL1;D6RAQ8;D6RD16","A0A7P0TB65;A0A7P0T840;P27824;A0A7P0T937;A0A7P0TAE9;A0A7P0Z484;A0A7P0T9L0;A0A7P0T8G1;D6RGY2;A0A7P0Z4D6;A0A7P0TAR9","20;20;20;19;19;17;17;17;16;15;12;8;5;5;5;4;3;1","20;20;20;19;19;17;17;17;16;15;12;8;5;5;5;4;3;1","20;20;20;19;19;17;17;17;16;15;12;8;5;5;5;4;3;1","Calnexin;Calnexin;Calnexin;Calnexin;Calnexin;Calnexin;Calnexin;Calnexin;Calnexin;Calnexin;Calnexin",18,20,20,20
"371","A0A7P0T870;A0A7P0Z4B9;Q16531;A0A7P0TB30;A0A7P0T965;A0A7P0TAK7;A0A7P0Z3Z5;F5GY55;F5GWI0;F5GZY8;F5H2L3;A0A7P0Z4L2;A0A7P0TAX4;F5H198","A0A7P0T870;A0A7P0Z4B9;Q16531;A0A7P0TB30;A0A7P0T965;A0A7P0TAK7;A0A7P0Z3Z5;F5GY55;F5GWI0;F5GZY8;F5H2L3;A0A7P0Z4L2;A0A7P0TAX4;F5H198","A0A7P0T870;A0A7P0Z4B9;Q16531;A0A7P0TB30;A0A7P0T965;A0A7P0TAK7;A0A7P0Z3Z5;F5GY55","20;20;20;19;19;19;18;17;6;2;2;2;1;1","20;20;20;19;19;19;18;17;6;2;2;2;1;1","20;20;20;19;19;19;18;17;6;2;2;2;1;1","DNA damage-binding protein 1;DNA damage-binding protein 1;DNA damage-binding protein 1;DNA damage-binding protein 1;DNA damage-binding protein 1;DNA damage-binding protein 1;DNA damage-binding protein 1;DNA damage-binding protein 1",14,20,20,20
"372","A0A7P0T8X4;A0A7P0T886;Q96GX1;F5H6G0;A0A7P0TAX5","A0A7P0T8X4;A0A7P0T886;Q96GX1;F5H6G0;A0A7P0TAX5","A0A7P0T8X4;A0A7P0T886;Q96GX1;F5H6G0;A0A7P0TAX5","2;2;2;1;1","2;2;2;1;1","2;2;2;1;1","Tectonic-2;Tectonic-2;Tectonic-2;Tectonic-2;HCG2033819, isoform CRA_b",5,2,2,2
"373","A0A7P0T931;A0A7P0T973;A0A7P0T9I9;A0A7P0T895;P43490;A0A7P0T862;A0A7P0T8L3;A0A0C4DFS8;A0A7P0T8D2;A0A7P0TAS5;B7Z8W6;A0A7P0TA73;A0A7P0TBB7;A0A7P0Z437;A0A7P0TAI8;A0A7P0T8R4;A0A7P0T8Z3;A0A7P0TB17;A0A7P0T9F0;A0A7P0Z4N0","A0A7P0T931;A0A7P0T973;A0A7P0T9I9;A0A7P0T895;P43490;A0A7P0T862;A0A7P0T8L3;A0A0C4DFS8;A0A7P0T8D2;A0A7P0TAS5;B7Z8W6;A0A7P0TA73;A0A7P0TBB7;A0A7P0Z437;A0A7P0TAI8;A0A7P0T8R4;A0A7P0T8Z3;A0A7P0TB17;A0A7P0T9F0;A0A7P0Z4N0","A0A7P0T931;A0A7P0T973;A0A7P0T9I9;A0A7P0T895;P43490;A0A7P0T862;A0A7P0T8L3;A0A0C4DFS8;A0A7P0T8D2;A0A7P0TAS5;B7Z8W6;A0A7P0TA73;A0A7P0TBB7","9;9;9;9;9;8;8;7;7;7;6;5;5;2;2;2;2;2;2;2","9;9;9;9;9;8;8;7;7;7;6;5;5;2;2;2;2;2;2;2","4;4;4;4;4;4;3;2;2;2;2;0;0;2;0;0;0;0;0;0","Nicotinamide phosphoribosyltransferase;Nicotinamide phosphoribosyltransferase;Nicotinamide phosphoribosyltransferase;Nicotinamide phosphoribosyltransferase;Nicotinamide phosphoribosyltransferase;Nicotinamide phosphoribosyltransferase;Nicotinamide phosphori",20,9,9,4
"374","A0A7P0T9U1;A0A7P0T926;A0A7P0TAT6;A0A7P0TAD4;A0A7P0Z4R9;A0A7P0TBB5;A0A7P0TB41;A0A7P0TA25;A0A7P0T989;A0A7P0TBM7;A0A7P0T900;A0A7P0T8X2;A0A7P0T9G9;A0A7P0Z469;A0A7P0T8I6;Q9UBR2;A0A7P0Z4L7;A0A7P0T9U4","A0A7P0T9U1;A0A7P0T926;A0A7P0TAT6;A0A7P0TAD4;A0A7P0Z4R9;A0A7P0TBB5;A0A7P0TB41;A0A7P0TA25;A0A7P0T989;A0A7P0TBM7;A0A7P0T900;A0A7P0T8X2;A0A7P0T9G9;A0A7P0Z469;A0A7P0T8I6;Q9UBR2;A0A7P0Z4L7;A0A7P0T9U4","A0A7P0T9U1;A0A7P0T926;A0A7P0TAT6;A0A7P0TAD4;A0A7P0Z4R9;A0A7P0TBB5;A0A7P0TB41;A0A7P0TA25;A0A7P0T989;A0A7P0TBM7;A0A7P0T900;A0A7P0T8X2;A0A7P0T9G9;A0A7P0Z469;A0A7P0T8I6;Q9UBR2;A0A7P0Z4L7;A0A7P0T9U4","2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1","2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1","2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1","Cathepsin Z;Cathepsin Z;Cathepsin Z;Cathepsin Z;Cathepsin Z;Cathepsin Z;Cathepsin Z;Cathepsin Z;Cathepsin X;Cathepsin Z;Cathepsin Z;Cathepsin Z;Cathepsin Z;Cathepsin Z;Cathepsin X;Cathepsin Z;Cathepsin Z;Cathepsin Z",18,2,2,2
"375","A0A7P0T8L6;A0A7P0TBB1;A0A7P0TA76;O95573;H7BYZ7;A0A7P0T905;A0A7P0TB52","A0A7P0T8L6;A0A7P0TBB1;A0A7P0TA76;O95573;H7BYZ7;A0A7P0T905;A0A7P0TB52","A0A7P0T8L6;A0A7P0TBB1;A0A7P0TA76;O95573;H7BYZ7;A0A7P0T905;A0A7P0TB52","2;2;2;2;1;1;1","2;2;2;2;1;1;1","2;2;2;2;1;1;1","Fatty acid CoA ligase Acsl3;Fatty acid CoA ligase Acsl3;Fatty acid CoA ligase Acsl3;Fatty acid CoA ligase Acsl3;Fatty acid CoA ligase Acsl3;Fatty acid CoA ligase Acsl3;Fatty acid CoA ligase Acsl3",7,2,2,2
"376","A0A7P0T8N8;O14776;G3V220","A0A7P0T8N8;O14776;G3V220","A0A7P0T8N8;O14776;G3V220","6;6;5","6;6;5","6;6;5","Transcription elongation regulator 1;Transcription elongation regulator 1;Transcription elongation regulator 1",3,6,6,6
"377","A0A7P0TAW4;A0A7P0T8Y2;A0A7P0TAF4;A0A7P0TBC5;Q4KMQ2;A0A7P0TBD5;A0A7P0TBI1","A0A7P0TAW4;A0A7P0T8Y2;A0A7P0TAF4;A0A7P0TBC5;Q4KMQ2;A0A7P0TBD5;A0A7P0TBI1","A0A7P0TAW4;A0A7P0T8Y2;A0A7P0TAF4;A0A7P0TBC5;Q4KMQ2;A0A7P0TBD5;A0A7P0TBI1","2;2;2;2;2;1;1","2;2;2;2;2;1;1","2;2;2;2;2;1;1","Anoctamin;Anoctamin;Anoctamin;Anoctamin;Anoctamin-6;Anoctamin;Anoctamin",7,2,2,2
"378","A0A7P0T9D8;A0A7P0T9R3;A0A7P0T906;Q8IW45","A0A7P0T9D8;A0A7P0T9R3;A0A7P0T906;Q8IW45","A0A7P0T9D8;A0A7P0T9R3;A0A7P0T906;Q8IW45","4;4;4;4","4;4;4;4","4;4;4;4","ATP-dependent (S)-NAD(P)H-hydrate dehydratase;ATP-dependent (S)-NAD(P)H-hydrate dehydratase;ATP-dependent (S)-NAD(P)H-hydrate dehydratase;ATP-dependent (S)-NAD(P)H-hydrate dehydratase",4,4,4,4
"379","A0A7P0T915;Q9NXA8;A0A7P0TBF5;A0A7P0TA05;A0A7P0T9X1;A0A7P0Z490;A0A7P0T9N1","A0A7P0T915;Q9NXA8;A0A7P0TBF5;A0A7P0TA05;A0A7P0T9X1;A0A7P0Z490;A0A7P0T9N1","A0A7P0T915;Q9NXA8;A0A7P0TBF5;A0A7P0TA05;A0A7P0T9X1;A0A7P0Z490;A0A7P0T9N1","2;2;1;1;1;1;1","2;2;1;1;1;1;1","2;2;1;1;1;1;1","NAD-dependent protein deacylase sirtuin-5, mitochondrial;NAD-dependent protein deacylase sirtuin-5, mitochondrial;NAD-dependent protein deacylase sirtuin-5, mitochondrial;NAD-dependent protein deacylase sirtuin-5, mitochondrial;NAD-dependent protein deacyl",7,2,2,2
"380","A0A7P0Z4G4;A0A7P0TAG1;A0A7P0T997;A0A7P0TAX2;A0A7P0TBE2;P10515;A0A7P0TA47;H0YDD4;E9PEJ4;A0A7P0TBK2;A0A7P0Z423;A0A7P0T9N8;A0A7P0Z459","A0A7P0Z4G4;A0A7P0TAG1;A0A7P0T997;A0A7P0TAX2;A0A7P0TBE2;P10515;A0A7P0TA47;H0YDD4;E9PEJ4;A0A7P0TBK2;A0A7P0Z423;A0A7P0T9N8;A0A7P0Z459","A0A7P0Z4G4;A0A7P0TAG1;A0A7P0T997;A0A7P0TAX2;A0A7P0TBE2;P10515;A0A7P0TA47;H0YDD4;E9PEJ4;A0A7P0TBK2","7;7;7;7;7;7;6;6;6;6;1;1;1","7;7;7;7;7;7;6;6;6;6;1;1;1","7;7;7;7;7;7;6;6;6;6;1;1;1","Acetyltransferase component of pyruvate dehydrogenase complex;Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex;Acetyltransferase component of pyruvate dehydrogenase complex;Acetyltransferase component of pyruvate dehydrogenase",13,7,7,7
"381","A0A7P0T9G6;Q9NRH3;P23258;K7EKE5;K7EIS0","A0A7P0T9G6;Q9NRH3;P23258;K7EKE5;K7EIS0","A0A7P0T9G6;Q9NRH3;P23258;K7EKE5;K7EIS0","6;6;6;4;4","6;6;6;4;4","6;6;6;4;4","Tubulin gamma chain;Tubulin gamma-2 chain;Tubulin gamma-1 chain;Tubulin gamma-1 chain;Tubulin gamma chain (Fragment)",5,6,6,6
"382","A0A7P0TB26;A0A7P0TA35;A0A7P0TA71;P07237;A0A7P0TA97;A0A7P0T8X1;I3L4M2;H7BZ94;A0A7P0T8C0;A0A7P0T8J3;I3L0S0;H0Y3Z3;A0A7P0T9K9;I3L3P5;A0A7P0T9U6;A0A7P0T9D6;I3L514;A0A7P0Z4J0;A0A7P0Z4S2;A0A7P0TAX9;B3KTQ9;I3NI03;A0A7P0TBP8;A0A7P0Z476;I3L3U6;A0A7P0T9S9;A0A7P0Z4F8;I3L1Y5;A0A7P0TBA3;A0A7P0Z4B2;A0A7P0T940;A0A7P0T9E3","A0A7P0TB26;A0A7P0TA35;A0A7P0TA71;P07237;A0A7P0TA97;A0A7P0T8X1;I3L4M2;H7BZ94;A0A7P0T8C0;A0A7P0T8J3;I3L0S0;H0Y3Z3;A0A7P0T9K9;I3L3P5;A0A7P0T9U6;A0A7P0T9D6;I3L514;A0A7P0Z4J0;A0A7P0Z4S2;A0A7P0TAX9;B3KTQ9;I3NI03;A0A7P0TBP8;A0A7P0Z476;I3L3U6;A0A7P0T9S9;A0A7P0Z4F8;I3L1Y5;A0A7P0TBA3;A0A7P0Z4B2;A0A7P0T940;A0A7P0T9E3","A0A7P0TB26;A0A7P0TA35;A0A7P0TA71;P07237;A0A7P0TA97;A0A7P0T8X1;I3L4M2;H7BZ94;A0A7P0T8C0;A0A7P0T8J3;I3L0S0;H0Y3Z3;A0A7P0T9K9;I3L3P5;A0A7P0T9U6;A0A7P0T9D6;I3L514","25;25;25;25;24;24;24;23;23;23;22;21;21;21;21;19;18;12;12;10;8;6;6;6;6;6;2;2;2;2;2;2","25;25;25;25;24;24;24;23;23;23;22;21;21;21;21;19;18;12;12;10;8;6;6;6;6;6;2;2;2;2;2;2","25;25;25;25;24;24;24;23;23;23;22;21;21;21;21;19;18;12;12;10;8;6;6;6;6;6;2;2;2;2;2;2","Protein disulfide-isomerase;Protein disulfide-isomerase;Protein disulfide-isomerase;Protein disulfide-isomerase;Protein disulfide-isomerase;Protein disulfide-isomerase;Protein disulfide-isomerase;Protein disulfide-isomerase;Protein disulfide-isomerase;Prot",32,25,25,25
"383","A0A7P0TAE1;H0YIV0;A0A7P0TAT8;P14625;A0A7P0T823;A0A7P0T917;A0A087WT78;A0A7P0TAY2;A0A7P0TBC2;A0A7P0T8R3;A0A7P0T885;A0A7P0Z405;Q58FF3;F8W026","A0A7P0TAE1;H0YIV0;A0A7P0TAT8;P14625;A0A7P0T823;A0A7P0T917;A0A087WT78;A0A7P0TAY2;A0A7P0TBC2;A0A7P0T8R3;A0A7P0T885;A0A7P0Z405;Q58FF3;F8W026","A0A7P0TAE1;H0YIV0;A0A7P0TAT8;P14625;A0A7P0T823;A0A7P0T917;A0A087WT78;A0A7P0TAY2;A0A7P0TBC2","34;34;34;34;33;30;30;28;21;11;11;8;5;3","32;32;32;32;31;28;28;26;19;9;9;6;5;1","32;32;32;32;31;28;28;26;19;9;9;6;5;1","Endoplasmin;Endoplasmin;Endoplasmin;Endoplasmin;Endoplasmin;Endoplasmin;Endoplasmin;Endoplasmin;Endoplasmin",14,34,32,32
"384","A0A7P0TAG8;Q8NCW5;A0A7P0T9Y2;Q5T3I4;Q5T3I3;A0A7P0Z426","A0A7P0TAG8;Q8NCW5;A0A7P0T9Y2;Q5T3I4;Q5T3I3;A0A7P0Z426","A0A7P0TAG8;Q8NCW5;A0A7P0T9Y2;Q5T3I4;Q5T3I3;A0A7P0Z426","2;2;1;1;1;1","2;2;1;1;1;1","2;2;1;1;1;1","NAD(P)H-hydrate epimerase;NAD(P)H-hydrate epimerase;NAD(P)H-hydrate epimerase;NAD(P)H-hydrate epimerase;NAD(P)H-hydrate epimerase;NAD(P)H-hydrate epimerase",6,2,2,2
"385","A0A7P0TAL9;A0A7P0TBA9;P19525;A0A7P0Z4M0","A0A7P0TAL9;A0A7P0TBA9;P19525;A0A7P0Z4M0","A0A7P0TAL9;A0A7P0TBA9;P19525;A0A7P0Z4M0","3;3;3;2","3;3;3;2","3;3;3;2","Interferon-induced, double-stranded RNA-activated protein kinase;Interferon-induced, double-stranded RNA-activated protein kinase;Interferon-induced, double-stranded RNA-activated protein kinase;Interferon-induced, double-stranded RNA-activated protein kin",4,3,3,3
"386","A0A7P0TAW3;P55072;C9JUP7;A0A7I2V540;A0A7P0T8Q5;A0A7P0T8A3;A0A7P0TAQ1;A0A7P0Z4C6;A0A7I2V2Y2;A0A7I2V5G8;A0A7P0TAY0;A0A7P0TA22;A0A7P0Z4D1;A0A7P0TBK7;A0A7P0T971;A0A7P0T946;A0A7I2YQJ0","A0A7P0TAW3;P55072;C9JUP7;A0A7I2V540;A0A7P0T8Q5;A0A7P0T8A3;A0A7P0TAQ1;A0A7P0Z4C6;A0A7I2V2Y2;A0A7I2V5G8;A0A7P0TAY0;A0A7P0TA22;A0A7P0Z4D1;A0A7P0TBK7;A0A7P0T971;A0A7P0T946;A0A7I2YQJ0","A0A7P0TAW3;P55072;C9JUP7;A0A7I2V540;A0A7P0T8Q5;A0A7P0T8A3;A0A7P0TAQ1;A0A7P0Z4C6;A0A7I2V2Y2","32;32;30;30;29;29;26;25;16;11;9;4;3;3;2;2;1","32;32;30;30;29;29;26;25;16;11;9;4;3;3;2;2;1","32;32;30;30;29;29;26;25;16;11;9;4;3;3;2;2;1","Transitional endoplasmic reticulum ATPase;Transitional endoplasmic reticulum ATPase;Transitional endoplasmic reticulum ATPase;Transitional endoplasmic reticulum ATPase;Transitional endoplasmic reticulum ATPase;Transitional endoplasmic reticulum ATPase;Tran",17,32,32,32
